university,university_chinese,usnewsranking
Princeton University,普林斯顿大学,1
Massachusetts Institute of Technology,麻省理工学院,2
Harvard University,哈佛大学,3
Stanford University,斯坦福大学,3
Yale University,耶鲁大学,5
University of Pennsylvania,宾夕法尼亚大学,6
California Institute of Technology,加州理工学院,7
Duke University,杜克大学,7
Brown University,布朗大学,9
Johns Hopkins University,约翰霍普金斯大学,9
Northwestern University,西北大学,9
Columbia University,哥伦比亚大学,12
Cornell University,康奈尔大学,12
University of Chicago,芝加哥大学,12
University of California Berkeley,加州大学伯克利分校,15
University of California Los Angeles,加州大学洛杉矶分校,15
Rice University,莱斯大学,17
Dartmouth College,达特茅斯学院,18
Vanderbilt University,范德堡大学,18
University of Notre Dame,圣母大学,20
University of Michigan--Ann Arbor,密歇根大学-安娜堡分校,21
Georgetown University,乔治城大学,22
University of North Carolina at Chapel Hill,北卡罗来纳大学教堂山分校,22
Carnegie Mellon University,卡内基梅隆大学,24
Emory University,埃默里大学,24
University of Virginia,弗吉尼亚大学,24
Washington University in St. Louis,圣路易斯华盛顿大学,24
University of California Davis,加州大学戴维斯分校,28
University of California San Diego,加州大学圣地亚哥分校,28
University of Florida,佛罗里达大学,28
University of Southern California,南加州大学,28
University of Texas at Austin,德克萨斯大学奥斯汀分校,32
Georgia Institute of Technology,佐治亚理工学院,33
University of California Irvine,加州大学欧文分校,33
New York University,纽约大学,35
University of California Santa Barbara,加州大学圣巴巴拉分校,35
University of Illinois Urbana-Champaign,伊利诺伊大学香槟分校,35
University of Wisconsin--Madison,威斯康星大学麦迪逊分校,35
Boston College,波士顿学院,39
Rutgers University--New Brunswick,罗格斯大学,40
Tufts University,塔夫茨大学,40
University of Washington,华盛顿大学,40
Boston University,波士顿大学,43
The Ohio State University,俄亥俄州立大学,43
Purdue University--Main Campus,普渡大学,43
University of Maryland College Park,马里兰大学,46
Lehigh University,里海大学,47
University of Georgia,佐治亚大学,47
University of Rochester,罗彻斯特大学,47
Virginia Tech,弗吉尼亚理工大学,47
Case Western Reserve University,凯斯西储大学,53
Florida State University,佛罗里达州立大学,53
Northeastern University,东北大学,53
University of Minnesota Twin Cities,明尼苏达大学双城分校,53
William & Mary,威廉玛丽学院,53
Stony Brook University--SUNY,纽约州立大学石溪分校,58
University of Connecticut,康涅狄格大学,58
Brandeis University,布兰迪斯大学,60
Michigan State University,密歇根州立大学,60
North Carolina State University,北卡罗拉娜州立大学,60
The Pennsylvania State University--University Park,宾州州立大学,60
Rensselaer Polytechnic Institute,伦斯勒理工学院,60
George Washington University,乔治华盛顿大学,67
Syracuse University,雪城大学,67
University of Massachusetts--Amherst,马萨诸塞大学安姆斯特分校,67
University of Miami,迈阿密大学,67
University of Pittsburgh,匹兹堡大学,67
Binghamton University--SUNY,纽约州立大学宾厄姆顿分校,73
Indiana University--Bloomington,印第安纳大学伯明顿分校,73
Tulane University,杜兰大学,73
Pepperdine University,佩波戴恩大学,76
Stevens Institute of Technology,斯蒂文斯理工学院,76
University at Buffalo--SUNY,纽约州立大学水牛城分校,76
University of California Riverside,加州大学河滨分校,76
University of Delaware,特拉华大学,76
University of California Santa Cruz,加州大学圣克鲁兹分校,82
University of Illinois--Chicago,伊利诺伊大学芝加哥分校,82
Worcester Polytechnic Institute,伍斯特理工学院,82
Clemson University,克莱姆森大学,86
Marquette University,马凯特大学,86
New Jersey Institute of Technology,新泽西理工学院,86
Fordham University,福特汉姆大学,89
Southern Methodist University,南卫理公会大学,89
Temple University,天普大学,89
University of South Florida,南佛罗里达大学,89
Auburn University,奥本大学,93
University of Iowa,爱荷华大学,93
Drexel University,德雷塞尔大学,98
Illinois Institute of Technology,伊利诺伊理工大学,98
Rochester Institute of Technology,罗彻斯特理工学院,98
University of Oregon,俄勒冈大学,98
American University,美国大学,105
Arizona State University,亚利桑那州立大学,105
George Mason University,乔治梅森大学,105
University of Colorado Boulder,科罗拉多大学博尔多分校,105
University of Arizona,亚利桑那大学,115
University of San Francisco,旧金山大学,115
The University of Texas at Dallas,德克萨斯大学达拉斯分校,115
University of Utah,犹他大学,115
Clark University,克拉克大学,142
